[28-Jul-2022 23:32:44 UTC] PHP Fatal error:  Uncaught Error: Call to a member function setAttribute() on null in /Users/agaly/Desktop/news/index.php:36
Stack trace:
#0 {main}
  thrown in /Users/agaly/Desktop/news/index.php on line 36
[28-Jul-2022 23:49:41 UTC] PHP Notice:  Undefined variable: doc in /Users/agaly/Desktop/news/index.php on line 33
[28-Jul-2022 23:49:41 UTC] PHP Fatal error:  Uncaught Error: Call to a member function html() on null in /Users/agaly/Desktop/news/index.php:33
Stack trace:
#0 {main}
  thrown in /Users/agaly/Desktop/news/index.php on line 33
[28-Jul-2022 23:50:43 UTC] PHP Notice:  Undefined property: DOMWrap\NodeList::$text in /Users/agaly/Desktop/news/index.php on line 37
[28-Jul-2022 23:59:24 UTC] PHP Notice:  Undefined variable: news in /Users/agaly/Desktop/news/index.php on line 37
[29-Jul-2022 00:14:17 UTC] PHP Notice:  Undefined index: action in /Users/agaly/Desktop/news/index.php on line 45
[29-Jul-2022 00:24:30 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 38
[29-Jul-2022 00:24:30 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 39
[29-Jul-2022 00:24:30 UTC] PHP Notice:  file_get_contents(): read of 8192 bytes failed with errno=21 Is a directory in /Users/agaly/Desktop/news/index.php on line 39
[29-Jul-2022 00:24:30 UTC] PHP Notice:  file_get_contents(): read of 8192 bytes failed with errno=21 Is a directory in /Users/agaly/Desktop/news/index.php on line 41
[29-Jul-2022 00:24:30 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 42
[29-Jul-2022 00:24:30 UTC] PHP Warning:  unlink(li/): Operation not permitted in /Users/agaly/Desktop/news/index.php on line 42
[29-Jul-2022 01:26:09 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 24
[29-Jul-2022 01:26:09 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 25
[29-Jul-2022 01:26:09 UTC] PHP Notice:  file_get_contents(): read of 8192 bytes failed with errno=21 Is a directory in /Users/agaly/Desktop/news/index.php on line 25
[29-Jul-2022 01:26:09 UTC] PHP Notice:  file_get_contents(): read of 8192 bytes failed with errno=21 Is a directory in /Users/agaly/Desktop/news/index.php on line 27
[29-Jul-2022 01:26:09 UTC] PHP Warning:  file_put_contents(новость1.html): failed to open stream: Is a directory in /Users/agaly/Desktop/news/index.php on line 30
[29-Jul-2022 01:26:09 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 31
[29-Jul-2022 01:26:09 UTC] PHP Warning:  unlink(li/): Operation not permitted in /Users/agaly/Desktop/news/index.php on line 31
[29-Jul-2022 01:43:22 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 24
[29-Jul-2022 01:43:22 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 25
[29-Jul-2022 01:43:22 UTC] PHP Notice:  file_get_contents(): read of 8192 bytes failed with errno=21 Is a directory in /Users/agaly/Desktop/news/index.php on line 25
[29-Jul-2022 01:43:22 UTC] PHP Notice:  file_get_contents(): read of 8192 bytes failed with errno=21 Is a directory in /Users/agaly/Desktop/news/index.php on line 27
[29-Jul-2022 01:43:22 UTC] PHP Warning:  file_put_contents(новость1.html): failed to open stream: Is a directory in /Users/agaly/Desktop/news/index.php on line 30
[29-Jul-2022 01:43:22 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 31
[29-Jul-2022 01:43:22 UTC] PHP Warning:  unlink(li/): Operation not permitted in /Users/agaly/Desktop/news/index.php on line 31
[29-Jul-2022 01:49:34 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 24
[29-Jul-2022 01:49:34 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 25
[29-Jul-2022 01:49:34 UTC] PHP Notice:  file_get_contents(): read of 8192 bytes failed with errno=21 Is a directory in /Users/agaly/Desktop/news/index.php on line 25
[29-Jul-2022 01:49:34 UTC] PHP Notice:  file_get_contents(): read of 8192 bytes failed with errno=21 Is a directory in /Users/agaly/Desktop/news/index.php on line 27
[29-Jul-2022 01:49:34 UTC] PHP Warning:  file_put_contents(новость1.html): failed to open stream: Is a directory in /Users/agaly/Desktop/news/index.php on line 30
[29-Jul-2022 01:49:34 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 31
[29-Jul-2022 01:49:34 UTC] PHP Warning:  unlink(li/): Operation not permitted in /Users/agaly/Desktop/news/index.php on line 31
[29-Jul-2022 01:58:25 UTC] PHP Notice:  Undefined variable: li2StartZ in /Users/agaly/Desktop/news/index.php on line 41
[29-Jul-2022 01:58:42 UTC] PHP Notice:  Undefined variable: li2StartZ in /Users/agaly/Desktop/news/index.php on line 41
[29-Jul-2022 02:11:01 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/script.php on line 21
[29-Jul-2022 02:11:01 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/script.php on line 22
[29-Jul-2022 02:11:01 UTC] PHP Notice:  file_get_contents(): read of 8192 bytes failed with errno=21 Is a directory in /Users/agaly/Desktop/news/script.php on line 22
[29-Jul-2022 02:11:01 UTC] PHP Notice:  file_get_contents(): read of 8192 bytes failed with errno=21 Is a directory in /Users/agaly/Desktop/news/script.php on line 24
[29-Jul-2022 02:11:01 UTC] PHP Warning:  file_put_contents(новость1.html): failed to open stream: Is a directory in /Users/agaly/Desktop/news/script.php on line 27
[29-Jul-2022 02:11:01 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/script.php on line 28
[29-Jul-2022 02:11:01 UTC] PHP Warning:  unlink(li/): Operation not permitted in /Users/agaly/Desktop/news/script.php on line 28
